line_id,line_name,station_id,station_name,station_sequence,gd_longitude,gd_latitude,longitude,latitude,edge,distance,x,y,offset,lane,raw_id
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10130305_gneE10,南门,14,120.624756,31.290842,120.62057518650988,31.293018056953706,gneE10,1.1278648934903792,2028.6245285695768,500.9548442088999,111.38763398756547,1,BV10130305
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10130460_gneE104,工人文化宫,15,120.624384,31.293841,120.62020332417256,31.2960162538846,gneE104,4.320891297810734,2000.3953570838203,834.1427541687153,173.75480648021363,0,BV10130460
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10849175_gneE104.311,三元坊,16,120.62385,31.296901,120.6196696134012,31.29907560117289,gneE104.311,7.744852412875611,1956.9066914301948,1174.4437616518699,197.96078430734812,0,BV10849175
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10849375_gneE98,苏州图书馆,17,120.623598,31.298915,120.6194176993238,31.30108906883832,gneE98,1.1447068757024184,1937.7448535335716,1398.2042252691463,84.11328111844722,0,BV10849375
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10129905_gneE91,饮马桥,18,120.622964,31.303199,120.61878396768203,31.30537204319014,gneE91,0.9199318884769143,1887.6718053587829,1874.3810636145063,178.78020353570795,0,BV10129905
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10129881_gneE69.64,乐桥北,19,120.622153,31.307739,120.617973363088,31.30991110009496,gneE69.64,0.8291446906878422,1821.3819701686152,2379.315786220599,29.8531307465171,0,BV10129881
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10129910_834633048#0.83,察院场观前街西,20,120.621115,31.311975,120.6169359569489,31.314146487909152,834633048#0.83,1.4879428482572339,1732.7835852245917,2851.0492957667448,28.6461659755347,0,BV10129910
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10129596_gneE49,接驾桥,21,120.620586,31.315595,120.61640712264398,31.31776561918483,gneE49,2.8951817932867803,1691.125578987354,3253.409347605426,50.415299197068876,0,BV10129596
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10129589_gneE44.250,北寺塔,22,120.620004,31.319861,120.61582526782284,31.32203056345688,gneE44.250,1.3126752635226586,1645.9755240765517,3727.4837708352134,32.24014187101701,0,BV10129589
320500010250,1路(公交一路新村首末站--苏州站北广场公交枢纽),BV10129588_gneE20,平门,23,120.617049,31.325438,120.612872086728,31.327608040614603,gneE20,3.7486944759025795,1378.2887012963765,4351.975670024753,539.1004590289933,0,BV10129588
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10129588_gneE27,平门,2,120.617834,31.324123,120.61365662791457,31.32629288103692,gneE27,1.8366503324490868,1449.7989828544087,4204.538857062347,51.25908614720599,0,BV10129588
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10129589_gneE41,北寺塔,3,120.6198,31.31977,120.61562144463107,31.32193978190103,gneE41,4.974962793711464,1626.3573713239166,3717.8382816952653,45.92986866170819,0,BV10129589
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10129596_gneE59,接驾桥,4,120.620434,31.315443,120.61625526526704,31.31761381720743,gneE59,0.9117537482224872,1676.306671673723,3236.8910600733943,102.07237616507147,0,BV10129596
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10129910_834617776#6,察院场观前街西,5,120.62089,31.312496,120.61671111199584,31.31466750308959,834617776#6,1.032693652466321,1712.630243400752,2909.279781559948,48.39691480146054,0,BV10129910
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10129881_793877960#1,乐桥北,6,120.622001,31.3075,120.61782152300805,31.30967234130044,793877960#1,4.693080284003776,1806.3554046931094,2353.1559154586866,52.48388634447195,0,BV10129881
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10129905_gneE90,饮马桥,7,120.622778,31.30293,120.61859816767786,31.305103335821727,gneE90,3.152071063530793,1869.3401215579943,1844.9704020461068,112.56362115249797,0,BV10129905
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10849375_834200992,苏州图书馆,8,120.623394,31.299115,120.6192138836112,31.30128920078453,834200992,2.730931777411801,1918.8203196635586,1420.812904539518,183.88431072585996,0,BV10849375
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10849175_gneE103,三元坊,9,120.623837,31.296285,120.61965667660871,31.298459858605813,gneE103,1.8612845676897454,1954.2007412126404,1106.2001391155645,159.55813387655883,0,BV10849175
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10130460_620937806#2,工人文化宫,10,120.624371,31.292969,120.62019040854037,31.295144615846265,620937806#2,0.8456410283173403,1997.0793387455633,737.5268258182332,13.380845742512586,0,BV10130460
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),BV10130305_-gneE10,南门,11,120.624722,31.290451,120.62054125356389,31.29262725073911,-gneE10,1.364337493771493,2024.4585209987708,457.6941329468973,177.12540380907166,0,BV10130305
320500010939,101路(城北西路首末站--吴中汽车站南),BV10129588_gneE27,平门,22,120.617808,31.324149,120.61363064498674,31.326318893081037,gneE27,1.9284598992407183,1447.3884784135153,4207.4765305174515,51.25908614720599,0,BV10129588
320500010939,101路(城北西路首末站--吴中汽车站南),BV10129589_gneE41,北寺塔,23,120.619805,31.319744,120.61562644262234,31.32191378702984,gneE41,4.887066664129376,1626.7707019264926,3714.945800366346,45.92986866170819,0,BV10129589
