edge_id,from_node_id,to_node_id,区域ID,区域名,方向,车道数,长度,轨迹,judgment,道路名称,道路等级
'793877960#1',cluster_cluster_gneJ289_gneJ292_gneJ339_gneJ341_gneJ342_gneJ343_gneJ344_gneJ345_gneJ340,cluster_4508903745_cluster_gneJ218_gneJ219_gneJ263_gneJ345_gneJ346,320508,姑苏区,南S,1,57.12,"MULTILINESTRING((120.61777154034637 31.310128181586794, 120.61778843091453 31.310058145513192, 120.61788250601067 31.309622010527157))",non-driveway,人民路,主干路
'793877960#1.81',cluster_4508903745_cluster_gneJ218_gneJ219_gneJ263_gneJ345_gneJ346,4198991799,320508,姑苏区,南S,1,50.01,"MULTILINESTRING((120.61791107829247 31.309501052500536, 120.61799656371868 31.30915152244841, 120.61801495101452 31.309063746319183, 120.61801579948941 31.30905925247635))",non-driveway,干将西路,主干路
'793877961#0',cluster_3001497792_gneJ203,cluster_cluster_5810426498_gneJ199_gneJ202,320508,姑苏区,西W,3,80.81,"MULTILINESTRING((120.62250498526132 31.311167209118157, 120.62191560107931 31.311002151412605, 120.62169589819698 31.310949556971163))",driveway,富仁坊巷,巷（弄）
'793877961#1',cluster_cluster_5810426498_gneJ199_gneJ202,cluster_cluster_4095734718_gneJ195_gneJ198,320508,姑苏区,西W,3,77.26,"MULTILINESTRING((120.62163984658402 31.310939408866574, 120.620845577168 31.31079688531169))",driveway,富仁坊巷,巷（弄）
'793877961#2',cluster_cluster_4095734718_gneJ195_gneJ198,cluster_4095734717_gneJ194,320508,姑苏区,西W,3,88.79,"MULTILINESTRING((120.620747626791 31.31077775263986, 120.6198312396696 31.31062899048406))",driveway,富仁坊巷,巷（弄）
'793877962',cluster_4095734717_gneJ194,4508903753,320508,姑苏区,南S,3,51.95,"MULTILINESTRING((120.61972431530099 31.31048639837266, 120.61983282725932 31.31002725996372))",driveway,邵磨针巷,支路
'793877963',4508903753,4508903755,320508,姑苏区,东E,3,87.82,"MULTILINESTRING((120.61998162632369 31.309991868288396, 120.62088209727796 31.310163423268314))",driveway,调丰巷,巷（弄）
'793877964',4508903753,3001489102,320508,姑苏区,南S,3,88.58,"MULTILINESTRING((120.61985630137951 31.30994183266533, 120.62009019821555 31.309146078180618))",driveway,邵磨针巷,支路
'793877966#0',3721939224,3721939227,320508,姑苏区,北N,3,84.94,"MULTILINESTRING((120.62291458232373 31.309728749032523, 120.62274044371088 31.3104799791267))",driveway,宫巷,巷（弄）
'793877966#2',3721939227,cluster_3001497792_gneJ203,320508,姑苏区,北N,3,65.51,"MULTILINESTRING((120.62274007660692 31.310482046741146, 120.62261946678518 31.311063624923296))",driveway,宫巷,巷（弄）
