line_id,line_name,station_id,station_name,station_sequence,gd_longitude,gd_latitude,longitude,latitude
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10130306,人民桥南,12,120.625569,31.284818,120.62138782282973,31.28699561208861
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10130310,团结桥北,13,120.626205,31.280794,120.62202346364684,31.28297255543772
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10129782,南门二村,14,120.627457,31.274332,120.62327459074635,31.276511809712424
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10129762,吴中区人民医院,15,120.62806,31.269575,120.62387728257391,31.271756106670317
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10887615,宝带路,16,120.62865,31.265595,120.62446691249829,31.2677770977157
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10129763,东吴塔,17,120.628993,31.263368,120.62480968416881,31.26555063875484
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10129732,吴中商城,18,120.629488,31.255395,120.62530473472266,31.257580494589185
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10964385,石湖东路,19,120.629588,31.250981,120.62540497226037,31.25316831382784
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10130556,吴中汽车站南,20,120.631371,31.248779,120.62718591084102,31.250965045358218
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10130557,枫津路,21,120.634651,31.248785,120.63046149009172,31.250966668513907
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10130475,枫津路石湖路南,22,120.636497,31.251198,120.63230464365442,31.253376004530548
320500010249,1路(苏州站北广场公交枢纽--公交一路新村),320500010249_BV10130369,公交一路新村,23,120.636372,31.25362,120.63217962898271,31.255797115581707
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10130349,城北西路首末站,1,120.543589,31.362856,120.5393230726551,31.364957431636512
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10572782,陆步桥南,2,120.545477,31.362374,120.54121665209144,31.364479787492474
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129705,富强新苑,3,120.547339,31.360647,120.54308411545004,31.362757370715194
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10964392,金成家园,4,120.549566,31.358585,120.54531745786583,31.360700697754954
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129707,城北十一号桥,5,120.556185,31.352496,120.55195401182984,31.354626477564885
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV11641470,新东方汽配城,6,120.559384,31.349497,120.55516077270623,31.351634052476033
320500010939,101路(城北西路首末站--吴中汽车站南),320500010939_BV10129708,新东方汽配城南,7,120.562053,31.349028,120.55783570257144,31.351169543538187
