line_id,line_name,line_type,start_stop,end_stop,start_time,end_time,basic_price,total_price,distance
900000118727,305路早班区间车(桐泾公园--官渎桥东),普通公交,桐泾公园,官渎桥东,0515,0545,1,2,13.50084
320500010162,42路(狮山国际会议中心公交换乘枢纽--葑谊工业园),普通公交,狮山国际会议中心公交换乘枢纽,葑谊工业园,0545,1845,2,3,21.40222
320500010286,45路(东方大道(古玩城)首末站--新庄立交),普通公交,东方大道(古玩城)首末站,新庄立交,0600,2125,2,2,14.60975
320500010285,45路(新庄新村北--东方大道(古玩城)首末站),普通公交,新庄新村北,东方大道(古玩城)首末站,0600,2030,2,2,14.26548
320500010338,40路(东线)(体育中心--体育中心首末站),普通公交,体育中心,体育中心首末站,[],[],2,2,25.10935
900000100627,40路区间车(体育中心--大公园),普通公交,体育中心,大公园,[],[],1,1,5.07292
900000100626,40路区间车(大公园--体育中心),普通公交,大公园,体育中心,[],[],1,1,6.19502
320500010699,40路(西线)(体育中心--体育中心首末站),普通公交,体育中心,体育中心首末站,0500,2130,2,2,25.30861
900000170741,47路支线B(轮船码头首末站--轮船码头首末站),普通公交,轮船码头首末站,轮船码头首末站,[],[],1,1,7.99173
900000170740,47路支线C(振华中学--轮船码头首末站),普通公交,振华中学,轮船码头首末站,[],[],0,0,3.15656
320500010228,5路(嘉元花园--复兴桥),普通公交,嘉元花园,复兴桥,[],[],2,2,19.07362
320500010227,5路(复兴桥--嘉元花园),普通公交,复兴桥,嘉元花园,[],[],2,2,19.17438
320500010158,51路(招商小石城首末站--狮山国际会议中心南),普通公交,招商小石城首末站,狮山国际会议中心南,0545,2030,2,2,16.51135
320500010157,51路(狮山国际会议中心公交换乘枢纽--小石城),普通公交,狮山国际会议中心公交换乘枢纽,小石城,0545,2030,2,2,17.57761
320500010048,54路(吴中区职教中心--苏州旅游集散中心首末站),普通公交,吴中区职教中心,苏州旅游集散中心首末站,[],[],2,2,23.59111
320500010004,54路(苏州旅游集散中心首末站--吴中区职教中心),普通公交,苏州旅游集散中心首末站,吴中区职教中心,0550,2000,2,2,23.46510
320500010180,501路(通达路保养场--上塘街),普通公交,通达路保养场,上塘街,0530,2000,2,2,17.54337
320500010179,501路(上塘街--通达路保养场2),普通公交,上塘街,通达路保养场2,0620,2105,2,2,19.28041
320500010751,511路(灵岩山首末站--葑门首末站),普通公交,灵岩山首末站,葑门首末站,0600,2040,2,3,19.85918
320500010743,511路(葑门首末站--木渎古镇严家花园),普通公交,葑门首末站,木渎古镇严家花园,0530,1930,2,3,19.67080
320500010072,514路(国际教育园南区首末站--官渎里立交桥),普通公交,国际教育园南区首末站,官渎里立交桥,0555,2200,2,3,20.24156
320500010071,514路(官渎里立交桥--国际教育园南区首末站),普通公交,官渎里立交桥,国际教育园南区首末站,0500,2110,2,3,20.85354
320500010822,522路(国际教育园南区首末站--官渎里立交换乘枢纽站),普通公交,国际教育园南区首末站,官渎里立交换乘枢纽站,0500,2130,2,2,25.22508
320500010803,522路(官渎里立交换乘枢纽站--国际教育园南区首末站),普通公交,官渎里立交换乘枢纽站,国际教育园南区首末站,0500,2030,2,2,24.46400
320500010244,529路(东方大道(古玩城)首末站--浒关首末站),普通公交,东方大道(古玩城)首末站,浒关首末站,0500,2030,2,3,32.23580
320500010243,529路(浒关首末站--东方大道(古玩城)首末站),普通公交,浒关首末站,东方大道(古玩城)首末站,0600,2145,2,3,32.29001
900000084061,54路高峰(苏州旅游集散中心首末站--吴中区职教中心),普通公交,苏州旅游集散中心首末站,吴中区职教中心,0550,2000,2,2,25.61721
900000082554,54路高峰(吴中区职教中心--苏州旅游集散中心首末站),普通公交,吴中区职教中心,苏州旅游集散中心首末站,0550,2000,2,2,25.63963
320500010180,501路(通达路保养场--上塘街),普通公交,通达路保养场,上塘街,0530,2000,2,2,17.54337
320500010179,501路(上塘街--通达路保养场2),普通公交,上塘街,通达路保养场2,0620,2105,2,2,19.28041
320500010302,602路(官渎桥西--国际教育园北区首末站),普通公交,官渎桥西,国际教育园北区首末站,0530,2045,2,2,18.44486
320500010301,602路(国际教育园北区首末站--官渎桥东),普通公交,国际教育园北区首末站,官渎桥东,0530,2030,2,2,19.15563
320500010341,60路(北线)(狮山桥东--体育中心首末站),普通公交,狮山桥东,体育中心首末站,0550,2130,2,2,23.39010
320500010151,60路(南线)(附二医院--体育中心首末站),普通公交,附二医院,体育中心首末站,0550,2130,2,2,22.79796
320500010226,7路(嘉元花园--复兴桥),普通公交,嘉元花园,复兴桥,0530,2110,2,2,20.01404
