odtaz_timeslot,o2d_taz,timeslot,ODcount
"127-1005,0-7",127-1005,0-7,12
"127-116,9-17",127-116,9-17,12
"127-128,19-24",127-128,19-24,12
"127-131,9-17",127-131,9-17,12
"127-132,19-24",127-132,19-24,12
"127-140,0-7",127-140,0-7,12
"127-140,9-17",127-140,9-17,12
"127-142,0-7",127-142,0-7,12
"127-147,9-17",127-147,9-17,12
"127-190,17-19",127-190,17-19,10
"127-2,9-17",127-2,9-17,12
"127-32,17-19",127-32,17-19,12
"127-47,9-17",127-47,9-17,12
"127-7,0-7",127-7,0-7,12
"127-7,9-17",127-7,9-17,12
"128-1,0-7",128-1,0-7,24
"128-10,0-7",128-10,0-7,12
"128-10,19-24",128-10,19-24,12
"128-10,9-17",128-10,9-17,12
"128-1005,9-17",128-1005,9-17,24
"128-1007,19-24",128-1007,19-24,12
"128-1008,17-19",128-1008,17-19,24
"128-1009,0-7",128-1009,0-7,12
"128-1009,19-24",128-1009,19-24,12
"128-1013,19-24",128-1013,19-24,12
"128-114,19-24",128-114,19-24,12
"128-114,9-17",128-114,9-17,12
"128-118,17-19",128-118,17-19,12
"128-127,17-19",128-127,17-19,12
"128-128,9-17",128-128,9-17,36
"128-129,0-7",128-129,0-7,12
"128-129,17-19",128-129,17-19,12
"128-129,9-17",128-129,9-17,24
"128-131,0-7",128-131,0-7,12
"128-131,9-17",128-131,9-17,12
"128-132,0-7",128-132,0-7,12
"128-132,19-24",128-132,19-24,12
"128-133,9-17",128-133,9-17,12
"128-135,9-17",128-135,9-17,12
"128-142,0-7",128-142,0-7,48
"128-142,19-24",128-142,19-24,24
"128-142,7-9",128-142,7-9,24
"128-142,9-17",128-142,9-17,36
"128-144,0-7",128-144,0-7,24
"128-144,17-19",128-144,17-19,12
"128-144,7-9",128-144,7-9,36
"128-144,9-17",128-144,9-17,72
"128-146,7-9",128-146,7-9,24
"128-147,0-7",128-147,0-7,12
"128-164,17-19",128-164,17-19,24
"128-164,19-24",128-164,19-24,12
"128-164,9-17",128-164,9-17,45
"128-165,0-7",128-165,0-7,12
"128-165,19-24",128-165,19-24,12
"128-165,7-9",128-165,7-9,12
"128-165,9-17",128-165,9-17,24
"128-171,9-17",128-171,9-17,12
"128-172,9-17",128-172,9-17,12
"128-175,19-24",128-175,19-24,12
"128-175,9-17",128-175,9-17,12
"128-176,7-9",128-176,7-9,12
"128-176,9-17",128-176,9-17,12
"128-178,17-19",128-178,17-19,12
"128-179,19-24",128-179,19-24,12
"128-182,7-9",128-182,7-9,12
"128-194,0-7",128-194,0-7,12
"128-194,19-24",128-194,19-24,36
"128-194,7-9",128-194,7-9,12
"128-194,9-17",128-194,9-17,24
"128-196,0-7",128-196,0-7,12
"128-198,17-19",128-198,17-19,12
"128-198,19-24",128-198,19-24,12
"128-199,17-19",128-199,17-19,12
"128-199,19-24",128-199,19-24,12
"128-199,9-17",128-199,9-17,24
"128-2,0-7",128-2,0-7,24
"128-2,7-9",128-2,7-9,12
"128-200,0-7",128-200,0-7,12
"128-200,19-24",128-200,19-24,12
"128-200,9-17",128-200,9-17,12
"128-201,17-19",128-201,17-19,24
"128-201,19-24",128-201,19-24,36
"128-201,9-17",128-201,9-17,23
"128-203,19-24",128-203,19-24,12
"128-205,19-24",128-205,19-24,12
"128-206,9-17",128-206,9-17,12
"128-208,19-24",128-208,19-24,11
"128-208,9-17",128-208,9-17,12
"128-22,9-17",128-22,9-17,12
"128-32,0-7",128-32,0-7,12
"128-32,19-24",128-32,19-24,12
"128-32,9-17",128-32,9-17,12
"128-40,19-24",128-40,19-24,12
"128-47,17-19",128-47,17-19,11
"128-47,19-24",128-47,19-24,12
"128-47,9-17",128-47,9-17,24
"128-85,0-7",128-85,0-7,9
"129-1,19-24",129-1,19-24,24
"129-10,0-7",129-10,0-7,24
"129-10,17-19",129-10,17-19,12
"129-1003,0-7",129-1003,0-7,12
"129-1003,19-24",129-1003,19-24,12
"129-1005,0-7",129-1005,0-7,12
"129-1005,7-9",129-1005,7-9,60
"129-1005,9-17",129-1005,9-17,36
"129-1008,9-17",129-1008,9-17,12
"129-1009,9-17",129-1009,9-17,24
"129-1013,9-17",129-1013,9-17,12
"129-113,0-7",129-113,0-7,10
"129-127,9-17",129-127,9-17,12
"129-128,0-7",129-128,0-7,12
"129-128,17-19",129-128,17-19,24
"129-128,19-24",129-128,19-24,12
"129-128,9-17",129-128,9-17,12
"129-129,0-7",129-129,0-7,12
"129-129,7-9",129-129,7-9,12
"129-129,9-17",129-129,9-17,72
"129-131,0-7",129-131,0-7,12
"129-131,19-24",129-131,19-24,12
"129-131,9-17",129-131,9-17,24
"129-132,0-7",129-132,0-7,12
"129-132,9-17",129-132,9-17,24
"129-136,0-7",129-136,0-7,12
"129-139,19-24",129-139,19-24,12
"129-142,0-7",129-142,0-7,36
"129-142,17-19",129-142,17-19,36
"129-142,19-24",129-142,19-24,36
"129-142,7-9",129-142,7-9,12
"129-142,9-17",129-142,9-17,60
"129-144,0-7",129-144,0-7,48
"129-144,17-19",129-144,17-19,12
"129-144,19-24",129-144,19-24,12
"129-144,7-9",129-144,7-9,12
"129-144,9-17",129-144,9-17,48
"129-146,9-17",129-146,9-17,12
"129-147,0-7",129-147,0-7,24
"129-147,9-17",129-147,9-17,12
"129-148,19-24",129-148,19-24,12
"129-157,19-24",129-157,19-24,10
"129-161,0-7",129-161,0-7,12
"129-163,7-9",129-163,7-9,12
"129-164,0-7",129-164,0-7,24
"129-164,19-24",129-164,19-24,48
"129-164,9-17",129-164,9-17,72
"129-165,0-7",129-165,0-7,24
"129-165,19-24",129-165,19-24,10
"129-165,7-9",129-165,7-9,12
"129-165,9-17",129-165,9-17,12
"129-178,9-17",129-178,9-17,24
"129-18,17-19",129-18,17-19,12
"129-181,9-17",129-181,9-17,36
"129-184,19-24",129-184,19-24,12
"129-185,9-17",129-185,9-17,12
"129-194,0-7",129-194,0-7,12
"129-194,17-19",129-194,17-19,24
"129-194,19-24",129-194,19-24,8
"129-196,17-19",129-196,17-19,24
"129-198,19-24",129-198,19-24,12
"129-2,19-24",129-2,19-24,36
"129-200,19-24",129-200,19-24,12
"129-200,9-17",129-200,9-17,12
"129-201,0-7",129-201,0-7,12
"129-201,17-19",129-201,17-19,12
"129-201,19-24",129-201,19-24,12
"129-201,9-17",129-201,9-17,12
"129-203,19-24",129-203,19-24,24
"129-203,9-17",129-203,9-17,48
"129-205,17-19",129-205,17-19,12
"129-205,19-24",129-205,19-24,12
"129-205,9-17",129-205,9-17,36
"129-206,0-7",129-206,0-7,24
"129-206,9-17",129-206,9-17,12
"129-207,9-17",129-207,9-17,12
"129-22,19-24",129-22,19-24,12
"129-24,9-17",129-24,9-17,12
"129-3,0-7",129-3,0-7,12
"129-3,9-17",129-3,9-17,12
"129-33,19-24",129-33,19-24,12
"129-37,19-24",129-37,19-24,12
"129-47,0-7",129-47,0-7,9
"129-47,19-24",129-47,19-24,10
"129-67,7-9",129-67,7-9,24
"129-7,17-19",129-7,17-19,12
"129-7,19-24",129-7,19-24,12
"129-77,7-9",129-77,7-9,24
"129-85,19-24",129-85,19-24,12
"13-21,19-24",13-21,19-24,12
"13-21,7-9",13-21,7-9,12
"130-1005,19-24",130-1005,19-24,24
"130-116,19-24",130-116,19-24,12
"130-131,0-7",130-131,0-7,12
"130-142,17-19",130-142,17-19,12
"130-142,9-17",130-142,9-17,12
"130-143,9-17",130-143,9-17,12
"130-144,0-7",130-144,0-7,12
"130-145,9-17",130-145,9-17,12
"130-163,0-7",130-163,0-7,12
"130-164,19-24",130-164,19-24,12
"130-164,9-17",130-164,9-17,34
"130-168,9-17",130-168,9-17,12
"130-198,9-17",130-198,9-17,12
"130-201,0-7",130-201,0-7,24
"130-205,19-24",130-205,19-24,12
"130-206,0-7",130-206,0-7,12
"130-43,19-24",130-43,19-24,12
"130-7,0-7",130-7,0-7,12
"131-1,9-17",131-1,9-17,12
"131-10,9-17",131-10,9-17,12
"131-1005,17-19",131-1005,17-19,12
"131-1005,19-24",131-1005,19-24,12
"131-1005,7-9",131-1005,7-9,24
"131-1007,9-17",131-1007,9-17,12
"131-1008,9-17",131-1008,9-17,24
"131-1010,9-17",131-1010,9-17,12
"131-102,19-24",131-102,19-24,12
"131-113,9-17",131-113,9-17,24
"131-114,19-24",131-114,19-24,12
"131-116,0-7",131-116,0-7,12
"131-116,9-17",131-116,9-17,12
"131-127,0-7",131-127,0-7,12
"131-127,9-17",131-127,9-17,12
"131-128,9-17",131-128,9-17,12
"131-129,0-7",131-129,0-7,24
"131-129,17-19",131-129,17-19,12
"131-129,19-24",131-129,19-24,12
"131-133,17-19",131-133,17-19,12
"131-142,0-7",131-142,0-7,24
"131-142,17-19",131-142,17-19,12
"131-142,9-17",131-142,9-17,36
"131-144,19-24",131-144,19-24,36
"131-144,7-9",131-144,7-9,12
"131-144,9-17",131-144,9-17,48
"131-147,17-19",131-147,17-19,12
"131-147,9-17",131-147,9-17,12
"131-157,9-17",131-157,9-17,12
"131-164,0-7",131-164,0-7,24
"131-164,17-19",131-164,17-19,10
"131-164,19-24",131-164,19-24,24
"131-164,7-9",131-164,7-9,24
"131-164,9-17",131-164,9-17,24
"131-165,17-19",131-165,17-19,22
"131-165,19-24",131-165,19-24,12
"131-17,0-7",131-17,0-7,12
"131-17,9-17",131-17,9-17,12
"131-172,7-9",131-172,7-9,12
"131-176,19-24",131-176,19-24,12
"131-178,0-7",131-178,0-7,12
"131-179,9-17",131-179,9-17,12
"131-181,7-9",131-181,7-9,12
"131-196,17-19",131-196,17-19,12
"131-196,19-24",131-196,19-24,12
"131-196,9-17",131-196,9-17,19
"131-198,17-19",131-198,17-19,12
"131-198,19-24",131-198,19-24,12
"131-198,9-17",131-198,9-17,24
"131-2,9-17",131-2,9-17,12
"131-200,0-7",131-200,0-7,12
"131-200,9-17",131-200,9-17,12
"131-201,0-7",131-201,0-7,12
"131-201,19-24",131-201,19-24,36
"131-201,9-17",131-201,9-17,24
"131-206,9-17",131-206,9-17,12
"131-32,9-17",131-32,9-17,24
"132-1,0-7",132-1,0-7,8
"132-10,9-17",132-10,9-17,12
"132-1005,9-17",132-1005,9-17,12
"132-1007,0-7",132-1007,0-7,12
"132-104,9-17",132-104,9-17,9
"132-114,17-19",132-114,17-19,12
"132-114,9-17",132-114,9-17,12
"132-127,19-24",132-127,19-24,12
"132-128,9-17",132-128,9-17,12
"132-129,17-19",132-129,17-19,12
"132-129,7-9",132-129,7-9,12
"132-139,19-24",132-139,19-24,12
"132-142,19-24",132-142,19-24,24
"132-142,7-9",132-142,7-9,36
"132-142,9-17",132-142,9-17,12
"132-144,0-7",132-144,0-7,24
"132-144,19-24",132-144,19-24,12
"132-144,9-17",132-144,9-17,12
"132-164,17-19",132-164,17-19,24
"132-164,19-24",132-164,19-24,12
"132-164,9-17",132-164,9-17,24
"132-165,9-17",132-165,9-17,12
"132-179,7-9",132-179,7-9,12
"132-186,9-17",132-186,9-17,12
"132-194,9-17",132-194,9-17,24
"132-196,9-17",132-196,9-17,12
"132-199,7-9",132-199,7-9,12
"132-200,17-19",132-200,17-19,12
"132-200,9-17",132-200,9-17,12
"132-203,0-7",132-203,0-7,12
"132-204,19-24",132-204,19-24,12
"132-206,9-17",132-206,9-17,12
"132-208,19-24",132-208,19-24,12
"132-25,0-7",132-25,0-7,12
"132-32,7-9",132-32,7-9,12
"132-33,0-7",132-33,0-7,12
"132-45,9-17",132-45,9-17,12
"132-47,9-17",132-47,9-17,12
"132-81,17-19",132-81,17-19,24
"132-85,0-7",132-85,0-7,12
"133-1,7-9",133-1,7-9,12
"133-1004,0-7",133-1004,0-7,12
"133-1005,9-17",133-1005,9-17,12
"133-1013,0-7",133-1013,0-7,12
"133-127,0-7",133-127,0-7,12
"133-127,7-9",133-127,7-9,12
"133-128,0-7",133-128,0-7,12
"133-129,0-7",133-129,0-7,12
"133-132,0-7",133-132,0-7,12
"133-133,9-17",133-133,9-17,12
"133-135,17-19",133-135,17-19,12
"133-139,0-7",133-139,0-7,12
"133-142,19-24",133-142,19-24,12
"133-142,7-9",133-142,7-9,12
"133-144,0-7",133-144,0-7,12
"133-144,7-9",133-144,7-9,12
"133-147,9-17",133-147,9-17,12
"133-161,7-9",133-161,7-9,12
"133-163,17-19",133-163,17-19,12
"133-163,9-17",133-163,9-17,12
"133-165,17-19",133-165,17-19,12
"133-194,9-17",133-194,9-17,12
"133-196,0-7",133-196,0-7,12
"133-196,17-19",133-196,17-19,12
"133-201,17-19",133-201,17-19,12
"133-201,7-9",133-201,7-9,12
"133-201,9-17",133-201,9-17,12
"133-203,9-17",133-203,9-17,12
"133-3,19-24",133-3,19-24,12
"133-45,9-17",133-45,9-17,8
"134-138,9-17",134-138,9-17,12
"134-142,9-17",134-142,9-17,12
"134-161,9-17",134-161,9-17,12
"134-205,0-7",134-205,0-7,12
"135-114,9-17",135-114,9-17,12
"135-119,7-9",135-119,7-9,12
"135-125,9-17",135-125,9-17,12
"135-144,7-9",135-144,7-9,12
"135-163,0-7",135-163,0-7,12
"135-167,9-17",135-167,9-17,12
"135-194,0-7",135-194,0-7,12
"135-196,0-7",135-196,0-7,12
"135-201,9-17",135-201,9-17,12
"135-204,17-19",135-204,17-19,12
"136-1005,9-17",136-1005,9-17,12
"136-1009,19-24",136-1009,19-24,12
"136-128,19-24",136-128,19-24,12
"136-129,19-24",136-129,19-24,12
"136-129,9-17",136-129,9-17,12
"136-139,9-17",136-139,9-17,12
"136-142,9-17",136-142,9-17,12
"136-147,7-9",136-147,7-9,12
"136-156,19-24",136-156,19-24,24
"136-164,0-7",136-164,0-7,12
"136-164,19-24",136-164,19-24,60
"136-165,19-24",136-165,19-24,12
"136-176,7-9",136-176,7-9,12
"136-178,7-9",136-178,7-9,12
"136-194,0-7",136-194,0-7,24
"136-194,19-24",136-194,19-24,12
"136-199,9-17",136-199,9-17,12
"136-201,19-24",136-201,19-24,12
"136-201,7-9",136-201,7-9,12
"136-202,9-17",136-202,9-17,12
"136-204,0-7",136-204,0-7,12
"136-208,9-17",136-208,9-17,12
"136-43,0-7",136-43,0-7,12
"136-47,0-7",136-47,0-7,7
"136-47,9-17",136-47,9-17,12
"136-68,19-24",136-68,19-24,12
"137-201,19-24",137-201,19-24,12
"138-1004,19-24",138-1004,19-24,12
"138-1005,0-7",138-1005,0-7,12
"138-129,0-7",138-129,0-7,12
"138-131,17-19",138-131,17-19,12
"138-139,9-17",138-139,9-17,12
"138-142,7-9",138-142,7-9,12
"138-144,7-9",138-144,7-9,12
"138-145,0-7",138-145,0-7,12
"138-159,9-17",138-159,9-17,12
"138-162,19-24",138-162,19-24,12
"138-182,19-24",138-182,19-24,12
"138-22,19-24",138-22,19-24,12
"138-32,19-24",138-32,19-24,24
"138-32,9-17",138-32,9-17,12
"138-7,0-7",138-7,0-7,12
"139-1,17-19",139-1,17-19,11
"139-1,9-17",139-1,9-17,12
"139-10,7-9",139-10,7-9,12
"139-1003,9-17",139-1003,9-17,12
"139-1007,19-24",139-1007,19-24,12
"139-1007,9-17",139-1007,9-17,12
"139-1009,7-9",139-1009,7-9,12
"139-1009,9-17",139-1009,9-17,12
"139-107,9-17",139-107,9-17,12
"139-114,7-9",139-114,7-9,12
"139-114,9-17",139-114,9-17,12
"139-116,17-19",139-116,17-19,12
"139-118,19-24",139-118,19-24,12
"139-123,19-24",139-123,19-24,12
"139-127,9-17",139-127,9-17,12
"139-128,17-19",139-128,17-19,12
"139-128,19-24",139-128,19-24,12
"139-129,0-7",139-129,0-7,24
"139-129,7-9",139-129,7-9,12
"139-129,9-17",139-129,9-17,12
"139-131,9-17",139-131,9-17,24
"139-137,19-24",139-137,19-24,12
"139-138,9-17",139-138,9-17,12
"139-142,19-24",139-142,19-24,36
"139-142,7-9",139-142,7-9,24
"139-142,9-17",139-142,9-17,24
"139-144,0-7",139-144,0-7,12
"139-144,17-19",139-144,17-19,12
"139-144,9-17",139-144,9-17,48
"139-147,9-17",139-147,9-17,12
"139-148,7-9",139-148,7-9,12
"139-151,0-7",139-151,0-7,12
"139-156,0-7",139-156,0-7,12
"139-156,9-17",139-156,9-17,12
"139-161,17-19",139-161,17-19,12
"139-161,9-17",139-161,9-17,12
"139-163,19-24",139-163,19-24,12
"139-163,9-17",139-163,9-17,12
"139-164,17-19",139-164,17-19,12
"139-164,19-24",139-164,19-24,60
"139-164,7-9",139-164,7-9,12
"139-164,9-17",139-164,9-17,60
"139-165,0-7",139-165,0-7,24
"139-165,17-19",139-165,17-19,12
"139-165,19-24",139-165,19-24,12
"139-165,9-17",139-165,9-17,36
"139-170,9-17",139-170,9-17,12
"139-179,7-9",139-179,7-9,12
"139-182,9-17",139-182,9-17,12
"139-183,9-17",139-183,9-17,12
"139-194,7-9",139-194,7-9,12
"139-194,9-17",139-194,9-17,36
"139-196,7-9",139-196,7-9,12
"139-199,7-9",139-199,7-9,12
"139-199,9-17",139-199,9-17,12
"139-2,0-7",139-2,0-7,12
"139-201,7-9",139-201,7-9,12
"139-203,17-19",139-203,17-19,12
"139-203,7-9",139-203,7-9,12
"139-24,7-9",139-24,7-9,12
"139-3,0-7",139-3,0-7,9
"139-32,7-9",139-32,7-9,12
"139-32,9-17",139-32,9-17,12
"139-43,9-17",139-43,9-17,12
"139-45,9-17",139-45,9-17,12
"139-47,0-7",139-47,0-7,12
"139-47,7-9",139-47,7-9,12
"139-7,0-7",139-7,0-7,12
"139-7,7-9",139-7,7-9,12
"14-129,7-9",14-129,7-9,12
"14-142,7-9",14-142,7-9,12
"14-4,7-9",14-4,7-9,12
"14-47,0-7",14-47,0-7,12
"140-1,7-9",140-1,7-9,12
"140-1,9-17",140-1,9-17,12
"140-10,9-17",140-10,9-17,8
"140-1004,0-7",140-1004,0-7,12
"140-1005,19-24",140-1005,19-24,12
"140-1005,7-9",140-1005,7-9,24
"140-1007,0-7",140-1007,0-7,12
"140-114,9-17",140-114,9-17,12
"140-127,0-7",140-127,0-7,12
"140-133,9-17",140-133,9-17,12
"140-138,19-24",140-138,19-24,12
"140-142,0-7",140-142,0-7,24
"140-142,17-19",140-142,17-19,12
"140-142,7-9",140-142,7-9,24
"140-142,9-17",140-142,9-17,48
"140-144,0-7",140-144,0-7,36
"140-144,19-24",140-144,19-24,24
"140-144,7-9",140-144,7-9,12
"140-144,9-17",140-144,9-17,60
"140-145,0-7",140-145,0-7,12
"140-146,9-17",140-146,9-17,12
"140-148,9-17",140-148,9-17,12
"140-181,9-17",140-181,9-17,12
"140-194,7-9",140-194,7-9,12
"140-199,9-17",140-199,9-17,12
"140-200,9-17",140-200,9-17,12
"140-201,0-7",140-201,0-7,12
"140-204,7-9",140-204,7-9,12
"140-206,7-9",140-206,7-9,12
"140-206,9-17",140-206,9-17,12
"140-32,17-19",140-32,17-19,12
"140-33,0-7",140-33,0-7,12
"140-47,19-24",140-47,19-24,12
"140-7,0-7",140-7,0-7,12
"140-77,17-19",140-77,17-19,24
"142-1,0-7",142-1,0-7,12
"142-1,17-19",142-1,17-19,12
"142-1,7-9",142-1,7-9,11
"142-1,9-17",142-1,9-17,48
"142-10,0-7",142-10,0-7,12
"142-10,7-9",142-10,7-9,12
"142-10,9-17",142-10,9-17,24
"142-1004,17-19",142-1004,17-19,24
"142-1004,19-24",142-1004,19-24,24
"142-1004,9-17",142-1004,9-17,56
"142-1005,0-7",142-1005,0-7,24
"142-1005,17-19",142-1005,17-19,24
"142-1005,19-24",142-1005,19-24,60
"142-1005,7-9",142-1005,7-9,72
"142-1005,9-17",142-1005,9-17,120
"142-1007,17-19",142-1007,17-19,24
"142-1007,19-24",142-1007,19-24,36
"142-1007,9-17",142-1007,9-17,12
"142-1009,0-7",142-1009,0-7,36
"142-1009,7-9",142-1009,7-9,12
"142-1009,9-17",142-1009,9-17,24
"142-1010,0-7",142-1010,0-7,12
"142-1010,7-9",142-1010,7-9,10
"142-1013,9-17",142-1013,9-17,10
"142-104,9-17",142-104,9-17,12
"142-114,19-24",142-114,19-24,48
"142-114,7-9",142-114,7-9,12
"142-114,9-17",142-114,9-17,36
"142-116,17-19",142-116,17-19,12
"142-116,19-24",142-116,19-24,12
"142-116,9-17",142-116,9-17,24
"142-119,7-9",142-119,7-9,12
"142-127,19-24",142-127,19-24,12
"142-128,0-7",142-128,0-7,24
"142-128,17-19",142-128,17-19,24
"142-128,19-24",142-128,19-24,36
"142-128,7-9",142-128,7-9,36
"142-128,9-17",142-128,9-17,48
"142-129,0-7",142-129,0-7,36
"142-129,17-19",142-129,17-19,24
"142-129,19-24",142-129,19-24,36
"142-129,7-9",142-129,7-9,72
"142-129,9-17",142-129,9-17,72
"142-131,0-7",142-131,0-7,12
"142-131,17-19",142-131,17-19,24
"142-131,7-9",142-131,7-9,24
"142-131,9-17",142-131,9-17,12
"142-132,0-7",142-132,0-7,12
"142-132,7-9",142-132,7-9,12
"142-135,9-17",142-135,9-17,12
"142-138,0-7",142-138,0-7,12
"142-140,0-7",142-140,0-7,36
"142-140,19-24",142-140,19-24,12
"142-142,0-7",142-142,0-7,12
"142-142,7-9",142-142,7-9,60
"142-142,9-17",142-142,9-17,36
"142-143,9-17",142-143,9-17,12
"142-144,0-7",142-144,0-7,12
"142-144,19-24",142-144,19-24,24
"142-144,7-9",142-144,7-9,12
"142-144,9-17",142-144,9-17,24
"142-145,0-7",142-145,0-7,24
"142-145,17-19",142-145,17-19,12
"142-145,19-24",142-145,19-24,36
"142-145,9-17",142-145,9-17,24
"142-146,19-24",142-146,19-24,24
"142-146,9-17",142-146,9-17,36
"142-147,0-7",142-147,0-7,12
"142-147,19-24",142-147,19-24,12
"142-147,9-17",142-147,9-17,36
"142-148,19-24",142-148,19-24,12
"142-156,7-9",142-156,7-9,12
"142-156,9-17",142-156,9-17,12
"142-161,0-7",142-161,0-7,12
"142-161,7-9",142-161,7-9,9
"142-164,17-19",142-164,17-19,7
"142-164,19-24",142-164,19-24,24
"142-164,7-9",142-164,7-9,22
"142-164,9-17",142-164,9-17,12
"142-165,0-7",142-165,0-7,12
"142-165,7-9",142-165,7-9,12
"142-17,19-24",142-17,19-24,12
"142-17,9-17",142-17,9-17,12
"142-173,9-17",142-173,9-17,12
"142-176,9-17",142-176,9-17,12
"142-178,7-9",142-178,7-9,12
"142-179,9-17",142-179,9-17,12
"142-185,9-17",142-185,9-17,12
"142-194,19-24",142-194,19-24,12
"142-194,9-17",142-194,9-17,12
"142-196,19-24",142-196,19-24,12
"142-196,9-17",142-196,9-17,12
"142-198,17-19",142-198,17-19,12
"142-198,19-24",142-198,19-24,12
"142-198,9-17",142-198,9-17,12
"142-199,0-7",142-199,0-7,24
"142-199,17-19",142-199,17-19,12
"142-2,0-7",142-2,0-7,24
"142-2,17-19",142-2,17-19,10
"142-2,7-9",142-2,7-9,12
"142-2,9-17",142-2,9-17,21
"142-201,0-7",142-201,0-7,12
"142-201,17-19",142-201,17-19,24
"142-201,19-24",142-201,19-24,48
"142-201,7-9",142-201,7-9,12
"142-201,9-17",142-201,9-17,24
"142-203,0-7",142-203,0-7,12
"142-203,17-19",142-203,17-19,24
"142-203,19-24",142-203,19-24,12
"142-203,9-17",142-203,9-17,84
"142-204,7-9",142-204,7-9,12
"142-205,17-19",142-205,17-19,22
"142-205,19-24",142-205,19-24,12
"142-205,7-9",142-205,7-9,24
"142-205,9-17",142-205,9-17,24
"142-206,0-7",142-206,0-7,24
"142-206,17-19",142-206,17-19,204
"142-206,19-24",142-206,19-24,108
"142-206,7-9",142-206,7-9,372
"142-206,9-17",142-206,9-17,132
"142-207,0-7",142-207,0-7,12
"142-207,17-19",142-207,17-19,12
"142-207,19-24",142-207,19-24,12
"142-21,19-24",142-21,19-24,12
"142-23,7-9",142-23,7-9,12
"142-3,0-7",142-3,0-7,10
"142-3,17-19",142-3,17-19,36
"142-3,19-24",142-3,19-24,12
"142-3,7-9",142-3,7-9,12
"142-3,9-17",142-3,9-17,36
"142-32,0-7",142-32,0-7,12
"142-32,7-9",142-32,7-9,36
"142-32,9-17",142-32,9-17,72
"142-33,17-19",142-33,17-19,12
"142-33,19-24",142-33,19-24,12
"142-33,7-9",142-33,7-9,12
"142-33,9-17",142-33,9-17,12
"142-45,0-7",142-45,0-7,9
"142-47,19-24",142-47,19-24,12
"142-47,7-9",142-47,7-9,12
"142-52,7-9",142-52,7-9,12
"142-52,9-17",142-52,9-17,12
"142-7,0-7",142-7,0-7,36
"142-7,17-19",142-7,17-19,12
"142-7,19-24",142-7,19-24,17
"142-7,9-17",142-7,9-17,56
"142-81,9-17",142-81,9-17,21
"142-82,9-17",142-82,9-17,23
"142-85,0-7",142-85,0-7,12
"142-87,19-24",142-87,19-24,12
"143-1,9-17",143-1,9-17,12
"143-128,7-9",143-128,7-9,12
"143-142,7-9",143-142,7-9,12
"143-164,9-17",143-164,9-17,12
"143-176,17-19",143-176,17-19,12
"143-181,9-17",143-181,9-17,12
"143-201,7-9",143-201,7-9,12
"143-206,9-17",143-206,9-17,12
"143-3,19-24",143-3,19-24,12
"143-33,9-17",143-33,9-17,12
"144-1,0-7",144-1,0-7,24
"144-1,17-19",144-1,17-19,9
"144-1,7-9",144-1,7-9,24
"144-1,9-17",144-1,9-17,24
"144-10,7-9",144-10,7-9,24
"144-10,9-17",144-10,9-17,12
"144-1003,9-17",144-1003,9-17,12
"144-1004,17-19",144-1004,17-19,12
"144-1004,7-9",144-1004,7-9,23
"144-1005,0-7",144-1005,0-7,12
"144-1005,17-19",144-1005,17-19,12
"144-1005,19-24",144-1005,19-24,36
"144-1005,7-9",144-1005,7-9,24
"144-1005,9-17",144-1005,9-17,36
"144-1007,0-7",144-1007,0-7,12
"144-1009,0-7",144-1009,0-7,12
"144-1009,17-19",144-1009,17-19,24
"144-1009,19-24",144-1009,19-24,24
"144-1010,0-7",144-1010,0-7,12
"144-1010,19-24",144-1010,19-24,12
"144-1011,7-9",144-1011,7-9,12
"144-113,0-7",144-113,0-7,12
"144-114,0-7",144-114,0-7,12
"144-114,17-19",144-114,17-19,12
"144-114,19-24",144-114,19-24,12
"144-114,7-9",144-114,7-9,12
"144-114,9-17",144-114,9-17,36
"144-116,17-19",144-116,17-19,12
"144-116,19-24",144-116,19-24,12
"144-116,7-9",144-116,7-9,24
"144-119,19-24",144-119,19-24,12
"144-123,19-24",144-123,19-24,12
"144-127,0-7",144-127,0-7,12
"144-128,0-7",144-128,0-7,12
"144-128,17-19",144-128,17-19,12
"144-128,19-24",144-128,19-24,36
"144-128,7-9",144-128,7-9,12
"144-128,9-17",144-128,9-17,48
"144-129,0-7",144-129,0-7,48
"144-129,17-19",144-129,17-19,48
"144-129,19-24",144-129,19-24,96
"144-129,7-9",144-129,7-9,36
"144-129,9-17",144-129,9-17,36
"144-131,17-19",144-131,17-19,12
"144-131,19-24",144-131,19-24,12
"144-131,7-9",144-131,7-9,24
"144-131,9-17",144-131,9-17,24
"144-132,0-7",144-132,0-7,12
"144-132,7-9",144-132,7-9,12
"144-140,0-7",144-140,0-7,12
"144-140,19-24",144-140,19-24,12
"144-142,0-7",144-142,0-7,24
"144-142,19-24",144-142,19-24,12
"144-142,7-9",144-142,7-9,24
"144-142,9-17",144-142,9-17,48
"144-143,9-17",144-143,9-17,12
"144-144,17-19",144-144,17-19,12
"144-145,0-7",144-145,0-7,12
"144-145,9-17",144-145,9-17,36
"144-146,0-7",144-146,0-7,12
"144-146,7-9",144-146,7-9,12
"144-146,9-17",144-146,9-17,12
"144-147,19-24",144-147,19-24,36
"144-151,9-17",144-151,9-17,12
"144-160,9-17",144-160,9-17,24
"144-161,9-17",144-161,9-17,12
"144-163,9-17",144-163,9-17,12
"144-164,19-24",144-164,19-24,24
"144-164,7-9",144-164,7-9,12
"144-164,9-17",144-164,9-17,36
